iter	MultiClass
0	0.4666344422
1	0.3321092116
2	0.2565606322
3	0.2115079961
4	0.1838977887
5	0.165923349
6	0.1545649751
7	0.1469020987
8	0.1413983276
9	0.1375060215
10	0.134616123
11	0.1324415339
12	0.1308588843
13	0.1296501665
14	0.1287489868
15	0.1278853852
16	0.1272938138
17	0.1268042684
18	0.1261100964
19	0.1257625388
20	0.1254679347
21	0.125235151
22	0.1250228614
23	0.1248462741
24	0.124650156
25	0.1244148938
26	0.1243050457
27	0.1239943584
28	0.1238922378
29	0.1237887588
30	0.1237068354
31	0.1236008956
32	0.1235174332
33	0.1234294836
34	0.1232967157
35	0.1232365991
36	0.1231902363
37	0.1230895571
38	0.1229912752
39	0.1229477211
40	0.1228666777
41	0.1227927365
42	0.1227363292
43	0.1226087554
44	0.1225849514
45	0.1225199856
46	0.1224733972
47	0.1224078895
48	0.1223298803
49	0.1222967864
50	0.1222757251
51	0.1222117248
52	0.1221645555
53	0.1221328936
54	0.1221069879
55	0.1220772109
56	0.1220534648
57	0.1220382627
58	0.1220181832
59	0.1220063967
60	0.1219773127
61	0.1219529292
62	0.1219309638
63	0.121913507
64	0.1218981088
65	0.1218696596
66	0.1218344081
67	0.1218254953
68	0.1217914773
69	0.1217772098
70	0.1217598649
71	0.1217476454
72	0.1217284883
73	0.1216973174
74	0.1216800868
75	0.1216674598
76	0.1216499976
77	0.1216334516
78	0.1216264528
79	0.1216167957
80	0.1215999496
81	0.121582781
82	0.1215702165
83	0.1215535911
84	0.1215456316
85	0.1215352641
86	0.1215264946
87	0.1215130897
88	0.1214980784
89	0.1214697049
90	0.1214614278
91	0.1214526192
92	0.1214305678
93	0.1214176917
94	0.1214106681
95	0.1213750041
96	0.1213636568
97	0.1213513859
98	0.1213387228
99	0.121330644
100	0.1213260052
101	0.1213050047
102	0.1212953626
103	0.1212869649
104	0.1212771205
105	0.1212517985
106	0.121220823
107	0.1212070491
108	0.1211979656
109	0.1211917988
110	0.1211804875
111	0.1211727738
112	0.1211656103
113	0.121146413
114	0.1211367636
115	0.1211244815
116	0.1211173557
117	0.1210958982
118	0.121087755
119	0.121077401
120	0.1210717528
121	0.1210569103
122	0.1210474407
123	0.1210328924
124	0.1210218334
125	0.1210132528
126	0.1210015156
127	0.1209956582
128	0.1209895795
129	0.1209824104
130	0.1209750289
131	0.1209667879
132	0.1209592255
133	0.1209509343
134	0.1209422279
135	0.1209368971
136	0.120927469
137	0.1209107535
138	0.1208976074
139	0.1208882829
140	0.1208857584
141	0.1208783985
142	0.1208732848
143	0.1208680073
144	0.1208627044
145	0.1208562743
146	0.120846474
147	0.1208400852
148	0.120831566
149	0.1208200789
150	0.1208096979
151	0.1208041906
152	0.1207973531
153	0.1207922042
154	0.1207782682
155	0.1207717396
156	0.1207650217
157	0.1207575089
158	0.1207511729
159	0.1207448983
160	0.120735655
161	0.1207298228
162	0.1207156336
163	0.1207039369
164	0.1206968599
165	0.120687116
166	0.120679154
167	0.1206719539
168	0.1206662973
169	0.1206577688
170	0.1206520835
171	0.1206384545
172	0.1206325503
173	0.1206285337
174	0.120621477
175	0.120615637
176	0.120611254
177	0.1205992262
178	0.1205901233
179	0.1205853761
180	0.1205807058
181	0.1205747926
182	0.120567665
183	0.1205610708
184	0.1205542331
185	0.1205450892
186	0.1205403981
187	0.1205338695
188	0.1205292487
189	0.1205241954
190	0.120514557
191	0.1205086759
192	0.1205017716
193	0.1204939969
194	0.1204889604
195	0.1204798161
196	0.1204723432
197	0.1204656033
198	0.120458306
199	0.1204421962
200	0.1204347557
201	0.1204291005
202	0.1204211503
203	0.1204134926
204	0.1204105616
205	0.1204044933
206	0.1203984704
207	0.1203930932
208	0.1203842835
209	0.1203810703
210	0.1203770144
211	0.1203720241
212	0.1203669774
213	0.1203603068
214	0.1203529153
215	0.120343801
216	0.1203372432
217	0.1203325859
218	0.1203260261
219	0.120321363
220	0.1203183608
221	0.1203128625
222	0.1203066789
223	0.1203016163
224	0.1202923558
225	0.1202886509
226	0.1202799191
227	0.120276841
228	0.1202684753
229	0.1202653985
230	0.1202597013
231	0.1202559985
232	0.1202520609
233	0.1202482953
234	0.1202429504
235	0.1202381305
236	0.1202315447
237	0.120224842
238	0.1202182957
239	0.1202112793
240	0.1202062205
241	0.1201995434
242	0.1201897439
243	0.1201835298
244	0.1201765404
245	0.1201714737
246	0.1201686079
247	0.1201647204
248	0.1201585055
249	0.1201519663
250	0.1201486454
251	0.1201457113
252	0.1201388109
253	0.1201341263
254	0.1201312641
255	0.1201237329
256	0.1201211608
257	0.1201194675
258	0.1201152359
259	0.1201108699
260	0.1201054823
261	0.120098801
262	0.120095761
263	0.1200933487
264	0.1200858275
265	0.1200771157
266	0.1200722867
267	0.1200647258
268	0.1200586828
269	0.1200528434
270	0.1200464363
271	0.120038715
272	0.1200317809
273	0.1200298273
274	0.1200275704
275	0.1200243546
276	0.1200215566
277	0.1200132403
278	0.120010115
279	0.1200056671
280	0.1200013005
281	0.1199977174
282	0.1199917228
283	0.1199882957
284	0.1199832705
285	0.1199799109
286	0.1199661364
287	0.1199582006
288	0.1199520828
289	0.1199462574
290	0.1199420085
291	0.119937911
292	0.1199324749
293	0.1199271196
294	0.1199200909
295	0.1199149145
296	0.1199080376
297	0.1199023213
298	0.1198980442
299	0.1198908291
300	0.1198854834
301	0.1198819281
302	0.1198743763
303	0.1198698842
304	0.1198636046
305	0.1198578173
306	0.1198522248
307	0.1198444183
308	0.1198373007
309	0.1198311689
310	0.1198274651
311	0.1198251873
312	0.1198215938
313	0.1198172204
314	0.1198127191
315	0.1198068447
316	0.1198030231
317	0.1197981016
318	0.119793303
319	0.1197873164
320	0.1197754517
321	0.1197713741
322	0.1197686636
323	0.1197610326
324	0.1197556899
325	0.1197499186
326	0.1197457169
327	0.1197411161
328	0.1197383788
329	0.1197342062
330	0.1197230934
331	0.1197191103
332	0.1197092451
333	0.1197051758
334	0.1197009461
335	0.1196986659
336	0.1196955543
337	0.1196881408
338	0.119685054
339	0.119678923
340	0.119675358
341	0.1196731028
342	0.1196695135
343	0.1196660594
344	0.1196620609
345	0.119659062
346	0.1196548227
347	0.1196517597
348	0.1196489362
349	0.1196445848
350	0.1196423791
351	0.119636355
352	0.119630382
353	0.1196264552
354	0.11962194
355	0.1196187197
356	0.1196158982
357	0.1196113633
358	0.1196082133
359	0.1196027311
360	0.1195994959
361	0.1195969605
362	0.1195940431
363	0.1195880833
364	0.1195861239
365	0.1195812414
366	0.1195778448
367	0.1195716317
368	0.119565081
369	0.1195593333
370	0.1195566201
371	0.1195524689
372	0.1195491885
373	0.1195457498
374	0.1195429402
375	0.1195391529
376	0.1195348213
377	0.1195270654
378	0.1195207049
379	0.119517772
380	0.1195131715
381	0.1195060706
382	0.119503853
383	0.1194996377
384	0.1194936773
385	0.1194886648
386	0.1194831904
387	0.1194780252
388	0.1194740327
389	0.119469617
390	0.1194656561
391	0.1194626866
392	0.1194613485
393	0.1194571733
394	0.1194512209
395	0.1194466445
396	0.1194429216
397	0.1194414395
398	0.1194389774
399	0.1194346321
400	0.1194289971
401	0.1194246992
